Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000045	2021-12-31	A	C39	4.465547	81.736907	3.324052	109.805743	6.225675	1.347915	7.89932	0.996553	1.426937	0.782471	0.438316	0.583417	计算机、通信和其他电子设备制造业
000045	2021-12-31	B	C39	16.634478	21.942378	481.770598	0.757622	28.046449	0.140202	0.641187	0.113609	3.710299	0.031615	0.024732	0.026297	计算机、通信和其他电子设备制造业
000049	2016-12-31	A	C38	4.307953	84.959144	9.496707	38.539675	3.804671	10.047275	22.867554	2.307396	43.104523	17.692318	2.041188	6.467538	电气机械及器材制造业
000049	2017-12-31	A	C38	4.014602	90.918103	7.905988	46.167538	3.445502	15.952631	42.334801	2.267513	28.141431	14.253941	1.956304	7.532277	电气机械及器材制造业
000049	2018-12-31	A	C38	4.429653	82.399231	7.129145	51.198285	3.946325	17.251167	68.035324	2.443881	25.590902	14.839127	2.098307	8.455788	电气机械及器材制造业
000049	2019-12-31	A	C38	4.566989	79.921366	7.398445	49.334691	4.186272	11.638513	50.149205	2.485938	23.852117	13.390595	2.096691	7.195889	电气机械及器材制造业
000049	2020-12-31	A	C38	4.527612	80.837316	9.537761	38.373786	4.272272	13.033154	41.171697	2.701616	21.706349	11.247454	2.178375	6.825913	电气机械及器材制造业
000049	2021-12-31	A	C38	3.976084	91.798865	8.241852	44.286163	3.812755	13.518637	55.586752	2.525128	21.879398	8.774018	1.960813	6.229006	电气机械及器材制造业
000050	2016-12-31	A	C39	5.346975	68.449918	6.941788	52.724168	3.100848	2.365522	1.82084	1.042076	1.637486	0.945905	0.495832	0.795101	计算机、通信和其他电子设备制造业
000050	2016-12-31	B	C39	3.169434	115.478032	9.068792	40.358187	1.147957	1.288782	0.566411	0.323228	4.539688	0.15899	0.10657	0.153356	计算机、通信和其他电子设备制造业
000050	2017-12-31	A	C39	5.290824	68.987364	8.261581	44.180406	3.642171	5.555254	3.252373	1.357307	2.174124	0.91334	0.54596	0.992606	计算机、通信和其他电子设备制造业
000050	2017-12-31	B	C39	3.774137	96.710851	13.03999	27.990819	1.261364	2.563112	1.778745	0.438427	6.846857	0.214679	0.144113	0.220923	计算机、通信和其他电子设备制造业
