Stkcd	Accper	Typrep	Indcd	F010101A	F010201A	F010501A	F011201A	F011601A	F011801A	F011901A	Indnme
股票代码	截止日期	报表类型编码	行业代码	流动比率	速动比率	营运资金与借款比	资产负债率	权益乘数	权益对负债比率	长期资本负债率	行业名称
000301	2018-12-31	B	C28	2.585487	2.561274		0.034316	1.035535	28.140954	0.00632	化学纤维制造业
000301	2019-12-31	A	C28	0.78689	0.571795	-0.337155	0.563384	2.290342	0.774989	0.29664	化学纤维制造业
000301	2019-12-31	B	C28	0.331958	0.327797	-0.731165	0.201733	1.252714	3.957037	0.113725	化学纤维制造业
000301	2020-12-31	A	C28	1.107616	0.958839	0.081842	0.64172	2.791113	0.558312	0.494364	化学纤维制造业
000301	2020-12-31	B	C28	0.078776	0.075416	-2.640871	0.314823	1.459477	2.176386	0.131887	化学纤维制造业
000333	2016-12-31	A	C38	1.237306	1.062085	4.00925	0.595683	2.473309	0.678744	0.152794	电气机械及器材制造业
000333	2016-12-31	B	C38	0.986488	0.986488		0.661873	2.957469	0.510864	0	电气机械及器材制造业
000333	2017-12-31	A	C38	1.323615	1.076375	1.083481	0.665768	2.991937	0.502024	0.357244	电气机械及器材制造业
000333	2017-12-31	B	C38	1.127427	1.127427		0.629486	2.698953	0.588598	0	电气机械及器材制造业
000333	2018-12-31	A	C38	1.315823	1.088189	1.247806	0.649397	2.852226	0.539891	0.307301	电气机械及器材制造业
000333	2018-12-31	B	C38	1.077105	1.077105	10.216372	0.673518	3.062952	0.484742	0	电气机械及器材制造业
000333	2019-12-31	A	C38	1.424719	1.199915	1.304139	0.644	2.80899	0.552795	0.318078	电气机械及器材制造业
000333	2019-12-31	B	C38	1.032261	1.032261	0.41438	0.656808	2.91382	0.522515	0.063858	电气机械及器材制造业
000333	2020-12-31	A	C38	1.312271	1.143515	1.089701	0.655263	2.900765	0.526104	0.295037	电气机械及器材制造业
000333	2020-12-31	B	C38	0.863726	0.863726	-2.743478	0.684961	3.174215	0.459936	0.084219	电气机械及器材制造业
000338	2016-12-31	A	C36	1.295448	1.022634	0.498049	0.728267	3.680084	0.373123	0.575645	汽车制造业
