股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	净资产收益率B	投入资本回报率	投资收益率	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B
600080	2018-12-31	A	C27	0.024184	0.021737	0.025529	0.019581	0.033832	4.855517	75.172222	5.457393	66.881751	6.329711	1.199679	2.028837	0.692631
600080	2019-12-31	A	C27	0.019191	0.013356	0.015147	0.012738	0.061035	4.775891	76.42553	4.490418	81.284192	5.772915	0.834027	2.140256	0.703443
600080	2020-12-31	A	C27	0.01888	0.018765	0.021502	0.015686	0.041827	4.36527	83.843611	4.280441	85.505208	7.752625	0.727227	1.987129	0.636116
600085	2010-12-31	A	C27	0.106297	0.090216	0.115476	0.104411	0.119742	13.030264	28.011712	1.079221	338.20691	3.933799	0.928376	4.207013	3.469331
600085	2011-12-31	A	C27	0.118963	0.097481	0.141719	0.126813	0.441374	20.027754	18.22471	1.325441	275.380043	3.132349	1.121547	6.774866	4.812429
600085	2012-12-31	A	C27	0.12766	0.10338	0.168714	0.126587	0.211172	24.304724	15.058801	1.229467	297.689975	2.914595	1.06969	8.142782	5.057412
600085	2013-12-31	A	C27	0.122437	0.098768	0.158678	0.118979	0.131341	21.914245	16.655833	1.264351	288.685658	3.186726	0.963102	8.332524	4.975437
600085	2014-12-31	A	C27	0.12169	0.100888	0.152145	0.125154	0.074579	17.676626	20.648737	1.254437	290.967183	3.168305	0.944512	7.942447	4.454496
600085	2015-12-31	A	C27	0.129142	0.107386	0.150137	0.127262	0.022779	14.514194	25.147797	1.209818	301.698272	3.174054	0.9869	8.017067	4.016575
600085	2016-12-31	A	C27	0.120826	0.099436	0.13608	0.113825	0.060364	13.505862	27.099344	1.259643	290.558515	3.256838	0.972612	8.259924	3.687051
600085	2017-12-31	A	C27	0.119693	0.097389	0.137977	0.118875	0.115729	12.746734	28.634786	1.279457	285.27727	2.963066	0.95081	7.676605	3.505145
600085	2018-12-31	A	C27	0.11393	0.09302	0.131603	0.112355	0.034793	12.000953	30.414251	1.240182	294.311641	2.745177	0.925715	6.869175	3.347903
600085	2019-12-31	A	C27	0.093561	0.075441	0.106997	0.093448	0.010322	11.047975	33.037729	1.154845	316.059731	2.631946	0.826541	4.39373	2.863784
600085	2020-12-31	A	C27	0.091067	0.075603	0.10702	0.089842	0.036263	10.916724	33.526541	1.130872	323.644055	2.56497	0.785914	3.230846	2.534774
600129	2010-12-31	A	C27	0.004357	-0.018706	-0.072626	0.004882	0.010875	14.725626	24.786722	4.811577	75.858705	6.602664	1.852903	4.516296	1.68819
600129	2011-12-31	A	C27	0.04326	0.005859	0.027414	0.045654	0.000391	13.020563	28.032582	3.993952	91.388179	5.950354	1.625123	4.889767	1.794855
600129	2012-12-31	A	C27	0.01547	-0.022401	-0.117143	0.013312	0.025327	11.385014	32.147523	3.591958	101.894287	5.964207	1.569314	5.022565	1.67574
600129	2013-12-31	A	C27	0.041697	0.004975	0.029443	0.0483	0.025276	9.306696	39.219074	3.460606	105.472856	5.801003	1.486253	4.801045	1.497662
600129	2014-12-31	A	C27	0.009209	-0.026775	-0.17041	0.010942	0.007114	7.709709	47.342902	3.257908	112.035085	5.215875	1.166804	4.618418	1.785564
600129	2015-12-31	A	C27	0.06599	0.022623	0.158623	0.074251	1.726146	7.795463	46.822107	3.038611	120.120674	4.928618	1.193455	4.153344	1.710814
600129	2016-12-31	A	C27	0.113123	0.087326	0.658624	0.150126	2.582547	8.978273	40.765078	3.048831	120.046011	5.201102	1.461525	3.975093	1.771389
600129	2017-12-31	A	C27	0.04033	0.009453	0.076735	0.04062	-0.00167	7.808945	46.741269	2.543055	143.528158	4.757855	1.631457	4.028555	1.842225
600129	2018-12-31	A	C27	0.035027	0.005234	0.027499	0.034369	0.019531	7.704093	47.377414	2.412962	151.266369	4.528664	1.624316	4.572553	2.026509
600129	2019-12-31	A	C27	0.025681	-0.007695	-0.032447	0.016673	0.009078	7.051125	51.764789	2.350027	155.317364	4.250098	1.493776	4.316422	2.027233
600129	2020-12-31	A	C27	0.030213	0.002238	0.010185	0.028426	1.095962	6.3514	57.625091	2.424679	150.947816	4.255802	1.358833	3.685298	1.841105
600161	2010-12-31	A	C27	0.126621	0.096918	0.213603	0.113971	-0.026832	8.935555	40.84805	1.001963	364.284909	12.484772	1.111482	1.821613	0.983137
600161	2011-12-31	A	C27	0.136902	0.102786	0.225504	0.115981	0.071989	8.049998	45.341626	1.005653	362.948254	14.96859	1.213268	1.77592	0.825106
600161	2012-12-31	A	C27	0.11975	0.092142	0.229551	0.10779	0.178577	5.832034	62.756836	0.909832	402.272068	16.247071	1.086258	1.947725	0.570803
600161	2013-12-31	A	C27	0.110128	0.088401	0.233456	0.107466	0	5.893273	61.935023	0.960928	379.841154	15.986396	1.040937	2.149298	0.531393
600161	2014-12-31	A	C27	0.071912	0.038825	0.10294	0.066876	0.037794	6.792518	53.735596	0.913161	399.710456	15.330477	0.906747	1.151222	0.479335
600161	2015-12-31	A	C27	0.053118	0.019847	0.051902	0.047367	0	8.795531	41.498347	0.945828	385.90526	18.680301	0.843188	0.667753	0.414359
600161	2016-12-31	A	C27	0.082979	0.053088	0.129567	0.078394	0	11.549555	31.689533	1.008057	363.074707	19.848482	1.114862	0.828968	0.547509
600161	2017-12-31	A	C27	0.286332	0.257477	0.42918	0.373725	10.579414	16.554586	22.048271	0.805767	452.984548	19.980548	0.714161	1.19987	0.745508
