Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
600771	2019-12-31	A	C27	0.058179	0.041518	0.057711	0.19874	0.057252	0.056577	0.078986	0.777855	0.222145	0.115301	0.112846	0.44485	0.087394	0.028336	-0.254799	0.051524	医药制造业
600771	2020-12-31	A	C27	0.012597	0.008064	0.010958	0.039943	0.012044	0.017125	0.018454	0.712462	0.287538	-0.000269	0.026659	0.526541	0.074661	0.025861	-0.182453	0.039157	医药制造业
600775	2016-12-31	A	C39	0.038882	0.033362	0.04768	0.171767	0.048494	0.04379	0.05597	0.144462	0.855538	0.037533	0.045644	0.013058	0.115266	-0.001463	0.296041		计算机、通信和其他电子设备制造业
600775	2017-12-31	A	C39	0.033222	0.028641	0.038666	0.170444	0.044103	0.039369	0.050602	0.142187	0.857813	0.041942	0.037255	0.013384	0.100808	-0.001226	0.268954		计算机、通信和其他电子设备制造业
600775	2018-12-31	A	C39	0.043473	0.03587	0.047653	0.253076	0.058521	0.054654	0.070239	0.16067	0.83933	0.048249	0.047224	0.012548	0.055334	0.001461	0.096209	0.049253	计算机、通信和其他电子设备制造业
600775	2019-12-31	A	C39	0.024566	0.01863	0.025522	0.112883	0.030807	0.028883	0.040185	0.151095	0.848905	0.030766	0.024396	0.011612	0.057947	0.000537	0.104916	0.051329	计算机、通信和其他电子设备制造业
600775	2020-12-31	A	C39	0.024335	0.019594	0.027679	0.109414	0.031683	0.028111	0.0389	0.153223	0.846777	0.035426	0.029801	0.011608	0.065215	-0.00144	0.093493	0.052076	计算机、通信和其他电子设备制造业
600775	2021-12-31	A	C39	0.013686	0.013289	0.019481	0.084973	0.021231	0.01394	0.021577	0.125866	0.874134	0.022292	0.017682	0.00923	0.060324	-0.00511	0.055932	0.047012	计算机、通信和其他电子设备制造业
600776	2016-12-31	A	C39	0.029611	0.024398	0.031072	0.465061	0.030668	0.026918	0.036986	0.204207	0.795793	0.041643	0.046596	0.053436	0.131198	-0.005008	0.293135		计算机、通信和其他电子设备制造业
600776	2017-12-31	A	C39	0.036158	0.031443	0.041508	0.563873	0.039381	0.040075	0.04509	0.174504	0.825496	0.049939	0.049142	0.039813	0.106294	0.001885	0.245112		计算机、通信和其他电子设备制造业
600776	2018-12-31	A	C39	0.035579	0.034412	0.045439	0.603483	0.042178	0.038997	0.043542	0.164249	0.835751	0.054758	0.054195	0.040836	0.042478	-0.003408	0.343683	0.061728	计算机、通信和其他电子设备制造业
600776	2019-12-31	A	C39	0.032001	0.034481	0.044066	0.659366	0.042478	0.032716	0.039369	0.149199	0.850801	0.052757	0.0498	0.028603	0.037938	-0.010729	0.234003	0.062283	计算机、通信和其他电子设备制造业
600776	2020-12-31	A	C39	0.025816	0.026518	0.033642	0.573638	0.033057	0.025895	0.032135	0.11486	0.88514	0.03501	0.035683	0.01818	0.033419	-0.007107	0.116496	0.059589	计算机、通信和其他电子设备制造业
600779	2016-12-31	A	C15	0.131139	0.112444	0.161739	0.502001	0.163432	0.13981	0.189454	0.761639	0.238361	0.219741	0.191089	0.212246	0.153787	-0.005211	0		酒、饮料和精制茶制造业
600779	2017-12-31	A	C15	0.162823	0.134399	0.1814	0.786931	0.220006	0.186517	0.26421	0.790638	0.209362	0.217906	0.163782	0.268839	0.110293	-0.005273	0		酒、饮料和精制茶制造业
